t-4	t-3	t-2	t-1	t0	t1	t2	t3	s	n	p(7)	p(8)	p(15)	p(16)	p(240)
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous	continuous	continuous	continuous	continuous
								class	meta	meta	meta	meta	meta	meta
12288.4204095	12332.6075742	12376.7947389	12420.9819035	12431.3821025	12233.5634782	12035.7448539	11837.9262296	240	2171.0	0.0263752546161	0.00370902032591	1.5075019412e-13	0.0527505092323	0.917165219784
13881.6600694	13974.8157169	14067.9713643	14161.1270118	14065.615602	13630.7064177	13195.7972333	12760.888049	240	2236.0	0.0263752546161	0.00370902032591	1.5075019412e-13	0.0527505092323	0.917165219784
-1961.8636505	-2156.0240779	-2350.1845053	-2544.3449327	-2584.29716122	-2471.38595921	-2358.47475721	-2245.5635552	15	2023.0	0.074162915349	0.0234656110406	0.883830726147	0.0185407288373	3.54479716691e-08
-1077.48868443	-1237.9768186	-1398.46495277	-1558.95308694	-1681.10973625	-1589.90224289	-1498.69474953	-1407.48725616	15	2133.0	0.395871758461	0.00347934174351	0.599101781845	0.00154637405649	7.46451178202e-07
-4605.70120041	-5307.52496842	-6009.34873643	-6711.17250444	-6899.78720345	-6569.55890955	-6239.33061565	-5909.10232174	15	2193.0	0.074162915349	0.0234656110406	0.883830726147	0.0185407288373	3.54479716691e-08
-1987.86957819	-3242.78970309	-4497.70982799	-5752.6299529	-6894.97578588	-6536.28518615	-6177.59458641	-5818.90398668	15	2144.0	0.074162915349	0.0234656110406	0.883830726147	0.0185407288373	3.54479716691e-08
-3893.24393757	-4337.90788282	-4782.57182807	-5227.23577333	-5308.35146605	-5142.75881637	-4977.1661667	-4811.57351702	15	2287.0	0.074162915349	0.0234656110406	0.883830726147	0.0185407288373	3.54479716691e-08
47.6063336628	23.6995804675	-0.207172727701	-24.1139259229	-43.5937907944	-59.952227272	-76.3106637496	-92.6691002272	15	2434.0	0.48939165473	0.00191168615129	0.507890701294	0.000477921537822	0.000328041205648
-5698.75803821	-6591.21061638	-7483.66319454	-8376.11577271	-8317.09880328	-8045.65570288	-7774.21260249	-7502.76950209	15	2131.0	0.074162915349	0.0234656110406	0.883830726147	0.0185407288373	3.54479716691e-08
-1016.61201449	-1724.27387212	-2431.93572976	-3139.59758739	-3171.42787904	-3049.15067786	-2926.87347669	-2804.59627551	15	2232.0	0.151979491115	0.0240436308086	0.804979383945	0.0189974363893	4.76715058539e-08
-2385.2569856	-2801.05320378	-3216.84942196	-3632.64564013	-4023.47133329	-3876.27386095	-3729.07638861	-3581.87891627	15	2240.0	0.074162915349	0.0234656110406	0.883830726147	0.0185407288373	3.54479716691e-08
-292.252920746	-363.001254578	-433.74958841	-504.497922243	-449.44287851	-353.036185692	-256.629492874	-160.222800056	15	2453.0	0.48939165473	0.00191168615129	0.507890701294	0.000477921537822	0.000328041205648
-2358.67600144	-2755.89610381	-3153.11620617	-3550.33630853	-3904.90753934	-3687.35276442	-3469.79798951	-3252.2432146	15	2312.0	0.074162915349	0.0234656110406	0.883830726147	0.0185407288373	3.54479716691e-08
-333.779658888	-403.304342138	-472.829025387	-542.353708637	-583.924725918	-502.54005734	-421.155388762	-339.770720184	15	2479.0	0.48939165473	0.00191168615129	0.507890701294	0.000477921537822	0.000328041205648
-470.683818029	-518.157585299	-565.631352568	-613.105119837	-553.761763924	-482.13868318	-410.515602435	-338.892521691	15	2042.0	0.48939165473	0.00191168615129	0.507890701294	0.000477921537822	0.000328041205648
-7352.48214978	-7503.39685945	-7654.31156911	-7805.22627878	-7950.34506811	-8015.00688044	-8079.66869278	-8144.33050511	15	2218.0	0.074162915349	0.0234656110406	0.883830726147	0.0185407288373	3.54479716691e-08
-1053.65663265	-1432.51047336	-1811.36431406	-2190.21815476	-2564.38367347	-2365.05020408	-2165.71673469	-1966.38326531	15	2354.0	0.151979491115	0.0240436308086	0.804979383945	0.0189974363893	4.76715058539e-08
3723.99794312	3841.88787039	3959.77779765	4077.66772492	4162.18037661	4068.03676908	3973.89316155	3879.74955401	240	2185.0	0.0263752546161	0.00370902032591	1.5075019412e-13	0.0527505092323	0.917165219784
-1555.11100012	-1648.76235315	-1742.41370618	-1836.06505921	-1788.22831177	-1694.50375548	-1600.77919919	-1507.05464291	15	2136.0	0.074162915349	0.0234656110406	0.883830726147	0.0185407288373	3.54479716691e-08
