t-3	t-2	t-1	t0	t1	Naive Bayes	n
continuous	continuous	continuous	continuous	continuous	discrete	continuous
					class	meta
44710.6863619	44810.7102688	44910.7341756	44083.0056903	42012.7400651	2133	1.0
48139.1823148	48237.1804061	48335.1784974	46077.9507571	33477.8766165	2133	4.0
-233.213809886	-1520.53699863	-2807.86018737	-3359.42086756	-3169.53149285	-2106	7.0
-295.084467076	-307.324102619	-319.563738161	-319.162552711	-315.619964033	-2133	10.0
-234.140424446	-230.597835768	-227.05524709	-229.618324753	-270.459111096	-2133	11.0
4332.38076727	4419.0269911	4505.67321494	3907.9346305	3256.28685985	2133	13.0
-3260.19084666	-3911.83861731	-4563.48638796	-4813.68690315	-4693.95201471	-1040	14.0
15660.9790194	15780.7139079	15900.4487963	15643.1491332	14267.2352852	2133	15.0
-11875.1278268	-13251.0416748	-14626.9555229	-14976.0167429	-14661.6416535	-1040	16.0
-1237.24908155	-1159.21590289	-1081.18272423	-1015.97051961	-1083.98040531	-2133	20.0
23951.5447141	24045.1524706	24138.7602272	23796.4953091	23318.4032489	2133	23.0
-1301.53921477	-1384.70470772	-1467.87020066	-1512.09793464	-1433.63798139	-2133	30.0
10806.114725	10884.5746783	10963.0346315	10481.0141343	9721.76349043	2133	31.0
-10778.0038948	-11537.2545387	-12296.5051826	-12674.3961395	-12189.6496204	-1040	32.0
224.819501946	236.055667693	247.291833441	247.452800973	209.463174471	-2106	35.0
1493.70724359	1551.44289737	1609.17855115	1532.63891497	1441.04219117	-26	37.0
26286.7999411	26380.5071585	26474.214376	25623.6251207	23500.8027062	2133	39.0
-21078.4679977	-23201.2904122	-25324.1128267	-26348.5861455	-24710.3704314	-1040	40.0
3220.5671854	3242.93818828	3265.30919116	3266.60163827	3113.03447259	-26	43.0
-2415.38349184	-2568.95065752	-2722.5178232	-2654.12057235	-2560.83652992	-2106	44.0
51541.1255017	51596.006514	51650.8875263	51476.7200915	48895.4872858	2133	46.0
5627.4545026	5702.52771972	5777.60093684	5762.75156242	5564.22762807	2133	51.0
-2575.25368031	-2773.77761466	-2972.30154901	-3156.15595815	-3058.28207144	-2106	52.0
58798.0143309	58895.8882176	58993.7621043	58461.7350976	55951.2627257	2133	53.0
-2282.5506268	-2499.42750476	-2716.30438272	-2666.8395572	-2563.1317256	-2106	58.0
-12776.6649662	-13080.8863597	-13385.1077531	-13651.1710851	-13497.0865267	-1040	60.0
9106.87720497	9184.7173882	9262.55757143	9265.86826957	9175.05242183	2133	63.0
-4204.72814943	-6499.47615623	-8794.22416304	-10360.821575	-9478.74346434	-1040	65.0
8340.50713573	8387.68807989	8434.86902405	8088.62558835	7574.1680589	2133	69.0
-8374.01535395	-8888.47288339	-9402.93041284	-9445.78735757	-9198.223342	-1040	70.0
6924.86247439	6982.53906082	7040.21564725	6594.10914098	4823.44053229	2133	72.0
-5800.57111982	-7571.2397285	-9341.90833719	-10117.7278011	-9890.21785129	-1040	73.0
5807.96868873	6035.47863859	6262.98858844	3886.6859869	1299.95661808	2133	74.0
-1286.77275073	-3873.50211955	-6460.23148836	-6112.92871664	-5389.72495544	-1040	75.0
2815.65739142	2827.42097819	2839.18456497	2745.61817017	2579.05255167	-26	78.0
-2251.35038484	-2417.91600334	-2584.48162184	-2636.13949316	-2557.47312271	-2133	79.0
30574.4065913	30666.4795615	30758.5525316	30654.0048038	29979.8103822	2133	81.0
277.757382744	581.819212668	885.881042593	694.252927236	-0.211303217538	-2106	84.0
-694.675533672	-1389.13976413	-2083.60399458	-1875.90150494	-1608.06640497	-2133	85.0
34422.9639622	34518.6839867	34614.4040113	33511.0387317	29919.0469415	2133	87.0
-23960.8299118	-27552.8217021	-31144.8134923	-33526.4599876	-32630.9139399	-1040	88.0
-4003.31540264	-4165.03070114	-4326.74599964	-4387.73956395	-4238.97369086	-1040	92.0
881.281837091	893.430677605	905.579518119	840.338355396	712.750469914	-26	101.0
-3114.88609454	-3242.47398002	-3370.0618655	-3394.25743666	-3293.02201354	-1040	102.0
29613.1696208	29708.4218574	29803.6740941	29577.4933005	28614.2906857	2133	104.0
3844.13926183	4068.92589575	4293.71252968	4063.77871693	3474.09714527	-2106	107.0
-1833.03699968	-2422.71857135	-3012.40014301	-3115.85057536	-2959.02032034	-2133	108.0
-1204.79135981	-1278.01262227	-1351.23388473	-1375.02720881	-1336.73531042	-2133	111.0
629.975199007	569.968581815	509.961964622	477.190306386	533.546678458	-26	117.0
4365.7799794	4422.13635147	4478.49272355	4333.83230223	3934.29372446	2133	118.0
-5837.933598	-6300.03976204	-6762.14592608	-7047.7817808	-6770.23740742	-1040	121.0
47040.8940828	47111.7965979	47182.6991129	47243.1721158	46084.9452365	2133	124.0
6110.90110547	6321.78250216	6532.66389886	6421.92418495	6210.34593388	2133	130.0
2503.23244567	2635.76734097	2768.30223627	2835.79371855	2634.68004646	-26	134.0
-784.25237915	-985.366051244	-1186.47972334	-1233.23605114	-1163.44953559	-2133	135.0
-443.782236828	-479.869795236	-515.957353643	-515.819786838	-495.180015627	-2133	138.0
-82.3845914103	-61.7448201995	-41.1050489886	-80.7597465035	-145.740052564	-2133	139.0
30864.6121564	30928.4669901	30992.3218238	30690.8432555	30201.5887384	2133	146.0
-25084.171697	-25573.4262141	-26062.6807312	-26151.1185902	-26031.240179	-1040	147.0
1680.09091745	1654.67819028	1629.2654631	1622.19648794	1632.24092985	-26	150.0
2254.99632816	2265.04077006	2275.08521197	2182.51018577	1942.95615866	-26	151.0
-3327.23243768	-3566.78646478	-3806.34049189	-3964.71181917	-3822.14920469	-1040	152.0
1732.416759	1755.73920293	1779.06164685	1653.8564619	1452.00945341	-26	154.0
-2181.23669931	-2383.0837078	-2584.93071628	-2756.79860546	-2652.68546835	-2133	155.0
7922.28786654	7980.75843451	8039.22900248	7734.03077672	7389.00809529	2133	160.0
-6411.89916194	-6756.92184337	-7101.94452481	-7145.43920015	-6918.74347507	-1040	161.0
6922.84189512	6991.56078857	7060.27968202	6549.94319762	6006.46336942	2133	164.0
-5950.09285104	-6493.57267924	-7037.05250744	-6798.09783973	-6469.35374692	-1040	165.0
3448.10416068	3476.59847659	3505.0927925	3272.9610719	2957.43707468	-26	169.0
-3668.5668669	-3984.09086412	-4299.61486134	-4528.44828362	-4329.22737533	-1040	170.0
-2243.94937693	-2489.65243584	-2735.35549475	-2676.42144996	-2562.36872417	-2133	173.0
5415.35294118	5515.6372549	5615.92156863	5417.85456893	5085.80631642	2133	177.0
-2219.25523874	-2551.30349124	-2883.35174375	-2967.31126105	-2859.77876309	-2133	178.0
4501.72462344	4516.59980161	4531.47497978	4103.40316858	3537.76524563	2133	180.0
-6643.71736745	-7209.3552904	-7774.99321335	-7790.23366833	-7529.2652633	-1040	181.0
-574.692528148	-614.629233988	-654.565939829	-647.97115232	-615.040337421	-2133	184.0
2808.35750422	2908.65598651	3008.9544688	3069.57625201	2925.026111	-26	187.0
-255.076991366	-399.627132382	-544.177273399	-545.653172065	-530.781328139	-2133	188.0
1888.81749991	1940.42402989	1992.03055987	1848.62887063	1536.09801978	-26	190.0
-1901.74133961	-2214.27219046	-2526.80304131	-2770.21930629	-2626.40821393	-2133	191.0
186.333318213	144.44672944	102.560140668	107.809231692	125.165465016	-2106	193.0
2142.46361576	2544.23345039	2946.00328503	2487.82138886	567.245187664	-26	197.0
-4624.33289871	-4949.44129535	-5274.549692	-5393.22074751	-5281.5508816	-1040	201.0
-1524.01802871	-1725.32214267	-1926.62625663	-1883.80741984	-1827.72474852	-2133	204.0
359.499432872	415.582104189	471.664775507	379.348833066	220.640818508	-26	205.0
-2001.2713853	-2159.97939986	-2318.68741442	-2464.14691595	-2338.53806328	-2133	206.0
1756.2249969	1787.84157072	1819.45814453	1820.87633714	1618.17748918	-26	208.0
-1625.00407825	-1827.70292622	-2030.40177418	-2211.65587669	-2106.08285164	-2133	209.0
-745.085170522	-843.996766039	-942.908361555	-953.538079096	-898.769491525	-2133	211.0
1291.9740113	1346.74259887	1401.51118644	1359.31425359	1212.00101983	-26	212.0
-1734.26365534	-1881.5768891	-2028.89012286	-1979.86745666	-1894.3135835	-2133	213.0
1488.86707285	1536.87671523	1584.88635762	1564.00086527	1497.54377244	-26	215.0
5315.96687697	5416.2681388	5516.56940063	5487.39292423	5137.86798133	2133	219.0
-2202.15581976	-2551.68076267	-2901.20570558	-3033.54348867	-2892.45890864	-2133	220.0
929.841622001	1011.83945141	1093.83728081	1001.57971563	869.789252155	-26	222.0
-711.696309602	-843.486773082	-975.277236561	-932.100021643	-863.494792657	-2133	223.0
4353.76419191	4419.08604999	4484.40790807	3985.88619493	2722.98517702	2133	225.0
